exp,lang,rouge1,rougeL,inflated
2,Akan,0.2832,0.1674,False
2,Amharic,0.1455,0.1353,False
2,English,0.46,0.41,False
2,Luganda,0.5155,0.4935,False
2,Swahili,0.6031,0.5672,False
11,Akan,0.2324,0.1403,False
11,Amharic,0.0769,0.0724,False
11,English,0.5598,0.5181,False
11,Luganda,0.3486,0.3309,False
11,Swahili,0.6564,0.6359,False
13,Akan,1.0,1.0,True
13,Amharic,1.0,1.0,True
13,English,0.5598,0.5181,True
13,Luganda,1.0,1.0,True
13,Swahili,0.6564,0.6359,True
14,Akan,0.7002,0.6622,True
14,Amharic,0.4769,0.4726,True
14,English,0.6668,0.6382,True
14,Luganda,0.6282,0.6095,True
14,Swahili,0.6655,0.6327,True
15,Akan,0.2792,0.1669,False
15,Amharic,0.1398,0.1325,False
15,English,0.5637,0.5203,False
15,Luganda,0.4214,0.3934,False
15,Swahili,0.6554,0.6403,False
